YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2012,2012,US,Reproductive Health,Folic acid supplementation,33.1,,32.3,33.9,Overall,Overall
2018,2018,US,Reproductive Health,Postpartum checkup,86.3,,85.0,87.4,Race/Ethnicity,Hispanic
2017,2017,CO,Reproductive Health,Folic acid supplementation,36.7,,33.7,39.8,Overall,Overall
2020,2020,MD,Reproductive Health,Postpartum checkup,94.4,,85.0,98.0,Race/Ethnicity,Asian or Pacific Islander
2014,2014,ME,Reproductive Health,Postpartum checkup,92.0,,89.4,94.0,Race/Ethnicity,"White, non-Hispanic"
2017,2017,NC,Reproductive Health,Postpartum checkup,92.5,,85.7,96.2,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,ND,Reproductive Health,Postpartum checkup,94.3,,91.3,96.3,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AK,Reproductive Health,Folic acid supplementation,14.3,,10.9,18.5,Race/Ethnicity,American Indian or Alaska Native
2018,2018,VA,Reproductive Health,Postpartum checkup,83.6,,72.3,90.9,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,MN,Reproductive Health,Postpartum checkup,87.5,,74.5,94.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,MN,Reproductive Health,Postpartum checkup,92.2,"Less than 60 respondents, interpret with caution",81.8,96.9,Race/Ethnicity,Hispanic
2019,2019,AK,Reproductive Health,Postpartum checkup,92.8,,89.4,95.1,Race/Ethnicity,"White, non-Hispanic"
2016,2016,IA,Reproductive Health,Postpartum checkup,86.3,,82.1,89.6,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,AK,Reproductive Health,Postpartum checkup,93.8,,83.2,97.9,Race/Ethnicity,Hispanic
2019,2019,GA,Reproductive Health,Postpartum checkup,82.9,,72.0,90.1,Race/Ethnicity,Hispanic
2019,2019,OR,Reproductive Health,Postpartum checkup,93.2,,91.6,94.5,Overall,Overall
2012,2012,OH,Reproductive Health,Postpartum checkup,90.5,"Less than 60 respondents, interpret with caution",77.2,96.4,Race/Ethnicity,"Multiracial, non-Hispanic"
2020,2020,IA,Reproductive Health,Postpartum checkup,84.0,,79.6,87.7,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,NY,Reproductive Health,Postpartum checkup,90.5,,86.8,93.2,Race/Ethnicity,Hispanic
2018,2018,IN,Reproductive Health,Postpartum checkup,88.9,"Less than 60 respondents, interpret with caution",77.4,94.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,NE,Reproductive Health,Postpartum checkup,91.6,,90.0,93.1,Overall,Overall
2015,2015,OR,Reproductive Health,Postpartum checkup,91.2,,88.9,93.0,Overall,Overall
2013,2013,DE,Reproductive Health,Postpartum checkup,94.6,"Less than 60 respondents, interpret with caution",83.7,98.3,Race/Ethnicity,Asian or Pacific Islander
2020,2020,AR,Reproductive Health,Postpartum checkup,82.0,,64.8,91.9,Race/Ethnicity,Hispanic
2013,2013,HI,Reproductive Health,Postpartum checkup,88.2,,85.7,90.2,Overall,Overall
2017,2017,MD,Reproductive Health,Postpartum checkup,90.2,,87.8,92.1,Overall,Overall
2019,2019,WI,Reproductive Health,Postpartum checkup,92.1,,87.7,95.0,Race/Ethnicity,"White, non-Hispanic"
